Stanley Matthews, 1956, Blackpool, England
Raymond Kopa, 1958, Real Madrid, France
Alfredo DiStéfano, 1959, Real Madrid, Spain
Luis Suárez, 1960, Barcelona, Spain
Omar Sívori, 1961, Juventus, Italy
Josef Masopust, 1962, Dukla Prague, Czech Republic
Lev Yashin, 1963, Dynamo Moscow, USSR
Denis Law, 1964, Manchester United, Scotland
Eusébio, 1965, Benfica, Portugal
Bobby Charlton, 1966, Manchester United, England
Flórián Albert, 1967, Ferencváros, Hungary
George Best, 1968, Manchester United, England
Gianni Rivera, 1969, Milan, Italy
Gerd Müller, 1970, Bayern Munich, Germany
Johan Cruyff, 1971, Ajax, Netherlands
Franz Beckenbauer, 1972, Bayern Munich, Germany
Johan Cruyff, 1973, Ajax, Netherlands
Johan Cruyff, 1974, Barcelona, Netherlands
Oleg Blokhin, 1975, Dynamo Kyiv, USSR
Franz Beckenbauer, 1976, Bayern Munich, Germany
Allan Simonsen, 1977, Borussia Mönchengladbach, Denmark
Kevin Keegan, 1978, Hamburg, England
Kevin Keegan, 1979, Hamburg, England
Karl-Heinz Rummenigge, 1980, Bayern Munich, Germany
Karl-Heinz Rummenigge, 1981, Bayern Munich, Germany
Paolo Rossi, 1982, Juventus, Italy
Michel Platini, 1983, Juventus, France
Michel Platini, 1984, Juventus, France
Michel Platini, 1985, Juventus, France
Igor Belanov, 1986, Dynamo Kyiv, USSR
Ruud Gullit, 1987, Milan, Netherlands
Marco van Basten, 1988, Milan, Netherlands
Marco van Basten, 1989, Milan, Netherlands
Lothar Matthäus, 1990, Inter, Germany
